Deployment_ID,Deployment_Date,Environment,Team,Deployment_Status,Incidents_Triggered,Downtime_Minutes,Clients_Affected,Root_Cause,Month
DEP-0001,2025-01-02,Production,Compliance Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0002,2025-01-02,Production,Payments Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0003,2025-01-05,Production,Payments Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0004,2025-01-05,Production,Security Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0005,2025-01-05,Production,Compliance Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0006,2025-01-05,Production,Security Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0007,2025-01-06,Production,Compliance Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0008,2025-01-06,Production,Payments Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0009,2025-01-07,Production,Data Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0010,2025-01-08,Production,Security Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0011,2025-01-08,Production,Platform Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0012,2025-01-09,Production,Data Engineering,Failed,7,18,3,API version mismatch with Stripe gateway,Jan-2025
DEP-0013,2025-01-12,Production,Data Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0014,2025-01-12,Production,Compliance Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0015,2025-01-12,Staging,Data Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0016,2025-01-12,Production,Security Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0017,2025-01-12,Staging,Data Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0018,2025-01-13,Production,Data Engineering,Rolled Back,1,19,10,Compliance rule violation detected in staging,Jan-2025
DEP-0019,2025-01-14,Staging,Payments Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0020,2025-01-14,Production,Data Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0021,2025-01-15,Production,Data Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0022,2025-01-16,Production,Payments Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0023,2025-01-16,Production,Platform Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0024,2025-01-19,Production,Payments Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0025,2025-01-19,Staging,Platform Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0026,2025-01-19,Staging,Data Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0027,2025-01-19,Production,Data Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0028,2025-01-20,Production,Payments Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0029,2025-01-20,Staging,Platform Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0030,2025-01-21,Production,Platform Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0031,2025-01-22,Staging,Payments Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0032,2025-01-22,Staging,Platform Engineering,Failed,4,143,25,Incompatible schema change in client data model,Jan-2025
DEP-0033,2025-01-23,Production,Security Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0034,2025-01-26,Production,Security Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0035,2025-01-26,Production,Payments Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0036,2025-01-26,Production,Data Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0037,2025-01-26,Production,Compliance Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0038,2025-01-26,Staging,Platform Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0039,2025-01-27,Staging,Data Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0040,2025-01-28,Production,Payments Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0041,2025-01-28,Staging,Payments Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0042,2025-01-29,Production,Payments Engineering,Success,0,0,0,N/A,Jan-2025
DEP-0043,2025-02-02,Production,Platform Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0044,2025-02-02,Production,Security Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0045,2025-02-03,Production,Security Engineering,Rolled Back,1,43,1,Compliance rule violation detected in staging,Feb-2025
DEP-0046,2025-02-03,Production,Payments Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0047,2025-02-04,Production,Platform Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0048,2025-02-05,Production,Platform Engineering,Failed,6,30,44,Rate limiting breach on vendor API,Feb-2025
DEP-0049,2025-02-05,Production,Security Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0050,2025-02-06,Staging,Data Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0051,2025-02-06,Staging,Compliance Engineering,Failed,8,180,40,API version mismatch with Stripe gateway,Feb-2025
DEP-0052,2025-02-09,Production,Payments Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0053,2025-02-09,Production,Platform Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0054,2025-02-09,Production,Security Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0055,2025-02-09,Production,Payments Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0056,2025-02-10,Staging,Payments Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0057,2025-02-10,Staging,Platform Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0058,2025-02-11,Production,Compliance Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0059,2025-02-11,Production,Compliance Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0060,2025-02-12,Production,Platform Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0061,2025-02-13,Staging,Payments Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0062,2025-02-13,Production,Security Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0063,2025-02-16,Production,Data Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0064,2025-02-16,Staging,Payments Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0065,2025-02-16,Staging,Data Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0066,2025-02-16,Production,Security Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0067,2025-02-16,Production,Compliance Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0068,2025-02-17,Staging,Platform Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0069,2025-02-18,Production,Security Engineering,Failed,7,157,13,Unhandled exception in transaction routing logic,Feb-2025
DEP-0070,2025-02-18,Staging,Payments Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0071,2025-02-19,Production,Security Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0072,2025-02-20,Production,Compliance Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0073,2025-02-20,Production,Compliance Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0074,2025-02-23,Staging,Data Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0075,2025-02-23,Production,Security Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0076,2025-02-23,Production,Platform Engineering,Success,0,0,0,N/A,Feb-2025
DEP-0077,2025-02-23,Production,Platform Engineering,Success,0,0,0,N/A,Feb-2025
