Anomaly_ID,Detected_Date,Client_ID,Region,Anomaly_Type,Severity,Description,Detection_Time,Resolution_Time,Action_Taken,Month
ANO-0001,2025-01-06,CLT-0101,United States,Volume Spike,Medium,"Transaction volume spiked from 5,479 to 32,874 per hour",55 minutes,3 hours,Data pipeline restarted — anomaly cleared,Jan-2025
ANO-0002,2025-01-08,CLT-0340,United States,Volume Drop,Medium,"Transaction volume dropped 86% below normal baseline of 6,177/hr",33 minutes,6 hours,Engineering rollback executed — normal volumes restored,Jan-2025
ANO-0003,2025-01-10,CLT-0324,France,Volume Spike,Medium,"Transaction volume spiked from 3,336 to 26,688 per hour",40 minutes,12 hours,Auto-alert triggered — ops team investigated and resolved,Jan-2025
ANO-0004,2025-01-14,CLT-0115,United States,Volume Spike,High,"Transaction volume spiked from 3,725 to 48,425 per hour",49 minutes,12 hours,Engineering rollback executed — normal volumes restored,Jan-2025
ANO-0005,2025-01-14,CLT-0106,United States,Volume Drop,High,"Transaction volume dropped 96% below normal baseline of 5,705/hr",8 minutes,2 hours,Engineering rollback executed — normal volumes restored,Jan-2025
ANO-0006,2025-01-16,CLT-0186,United States,Failed Transaction Surge,High,Failed transaction rate surged from 2.2% to 58.7%,22 minutes,5 hours,Client contacted — confirmed legitimate marketing campaign spike,Jan-2025
ANO-0007,2025-01-20,CLT-0108,United States,Volume Drop,Medium,"Transaction volume dropped 96% below normal baseline of 6,400/hr",38 minutes,10 hours,Network routing issue identified and corrected,Jan-2025
ANO-0008,2025-01-20,CLT-0205,United Kingdom,Failed Transaction Surge,Medium,Failed transaction rate surged from 1.9% to 57.6%,52 minutes,5 hours,Data pipeline restarted — anomaly cleared,Jan-2025
ANO-0009,2025-01-22,CLT-0065,United States,Volume Spike,Medium,"Transaction volume spiked from 6,696 to 80,352 per hour",39 minutes,2 hours,Compliance team notified — transaction pattern reviewed,Jan-2025
ANO-0010,2025-01-24,CLT-0182,United States,Volume Spike,High,"Transaction volume spiked from 6,213 to 80,769 per hour",35 minutes,8 hours,Network routing issue identified and corrected,Jan-2025
ANO-0011,2025-01-28,CLT-0142,United States,Volume Spike,Medium,"Transaction volume spiked from 5,910 to 65,010 per hour",28 minutes,12 hours,Fraud detection rule updated — false positive resolved,Jan-2025
